red,orange,green-b,green-c,green-d,green-e,blue,gray
21x1,14x2,0x14,5x12,5x10,9x8,23x15,19x3
22x1,15x3,1x14,6x12,6x10,10x8,24x14,20x3
23x1,16x4,2x14,7x12,7x10,11x8,25x13,21x3
24x1,17x5,3x14,8x12,8x10,12x8,26x14,22x4
25x1,18x6,4x14,9x12,9x10,13x8,27x15,22x5
25x2,19x7,5x14,10x12,10x10,14x8,28x16,22x6
25x3,20x8,6x14,11x12,11x10,15x8,29x17,22x7
25x4,21x9,7x14,12x12,12x10,16x8,30x17,22x8
25x5,22x10,8x14,13x12,13x10,17x9,31x17,22x9
25x6,23x11,9x14,14x12,14x10,18x10,32x18,22x10
25x7,24x12,10x14,15x12,15x10,19x11,32x19,22x11
25x8,25x13,11x14,16x12,16x10,20x12,32x20,22x12
25x9,25x15,12x14,17x12,17x11,21x12,,24x12
25x10,24x16,13x14,18x12,18x12,22x12,,23x11
25x11,24x17,14x14,19x12,19x12,23x13,,25x11
24x12,24x18,15x14,20x12,20x12,24x14,,26x11
23x13,24x19,16x14,21x12,21x12,25x15,,27x11
22x14,23x20,17x13,22x12,22x12,24x16,,28x11
21x15,23x21,18x12,23x13,23x13,23x16,,29x12
20x16,,19x12,24x14,24x14,22x16,,30x13
19x17,,20x12,25x15,25x15,,,30x14
19x18,,21x12,24x16,24x16,,,29x14
19x19,,22x12,23x16,23x16,,,28x13
18x19,,23x13,22x16,22x16,,,29x10
26x8,,24x14,,,,,30x9
27x8,,25x15,,,,,31x9
28x7,,24x16,,,,,32x9
28x6,,23x16,,,,,33x8
28x5,,22x16,,,,,33x7
,,,,,,,32x6
